organizationid,locationid,rowcount
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-7357248d-0c41-44fd-9e81-b75625a84fb0,814602
org-bbd556dc-41be-4f09-9c5a-2024e9ad716b,loc-6e6a1e38-f495-417a-95a0-cc9a1dd1a88a,803166
com-8umc347sbf,loc-779e001a-c867-4306-8fdf-448f29c56290,800764
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-d30b1e76-3b2b-42cf-b357-f4790df19159,791924
com-8umc347sbf,loc-d52babc8-746a-42a5-bbc0-7b2f43a1b660,788490
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-f8417e68-4a8a-4fa6-8c9b-780564b86a90,783366
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-0fa39b77-9897-4d35-9c23-c94ec9d08db2,779956
com-8umc347sbf,loc-483462b9-7b2c-44eb-8c16-33cac9589945,755693
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-a6aafc68-5169-459a-90f1-738daa380ff5,749440
com-8umc347sbf,loc-s5pqvoevcz,748448
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-8c9c2408-f777-435d-ab74-2cfab68e6c14,744046
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-704c0f96-3b03-414d-a620-be6e12fde2be,735109
com-8umc347sbf,loc-fd77231f-5825-48e1-b7cb-931a1eccd0be,712280
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-d325c65a-1aac-4655-a73f-1e4a067f27c7,706983
org-7bd17b79-edd7-48bf-b655-dd2fbb1650a7,loc-a8a9f2ba-6a35-4a1e-b68b-f4191e9e6e26,692083
org-3f114600-d00c-435d-8b54-7492b7f7594c,loc-137c453f-b207-441c-ad04-781f4982fa4d,687883
org-7bd17b79-edd7-48bf-b655-dd2fbb1650a7,loc-0be64e65-c6e8-460f-bc14-6c5558eef57e,678457
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-7990cb9a-7486-4085-b010-2f1590c1392d,673388
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-8a2666e8-7de0-4ed3-b80f-4d70592d78dd,631126
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-fcf1b5c8-2ecc-400e-941d-75b1f6aa1074,623377
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-12cee73d-0186-42be-81f7-3dd208d004f9,621726
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-190e5422-ecb9-49a8-bd6b-54c47994b2d5,620916
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-fac2564f-90b3-4155-86ff-0571865b4e7b,614509
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-d7bb5d5b-95ea-4972-8d7d-a823a82fb8ac,608309
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-e365648a-13cb-42f8-a7eb-0a902fe304c9,607816
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-d4e7648f-7199-46c4-aab3-9e903e66971b,598104
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-4b3ddf66-ef2d-4949-8f6f-8ba682643fe2,597490
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-cd96e9f4-fb5d-4198-88bd-dccec1df1ada,587228
com-8umc347sbf,loc-f09b91be-9f5a-47c6-a066-e5d04d8d7e44,577225
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-305a7856-ac3e-417f-a37e-6a0605385621,576732
com-8umc347sbf,loc-38dcdddb-a890-48c0-9722-a6414e549f24,574621
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-bed4f20a-3ce8-4b2c-b851-6d771303ff38,568639
org-7bd17b79-edd7-48bf-b655-dd2fbb1650a7,loc-4d96bc3b-7304-4a31-ad56-f0466744df75,561186
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-ad1afdeb-0f0a-4360-8928-871db3c0bbf8,559209
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-f45d48b4-a2b8-458e-b434-f2ac2983f3be,556218
org-75ac29f0-21d8-4fa7-b7f9-b010d5df026d,loc-5edcc47a-4a7e-42c0-ac2c-bef187a5f441,546775
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-f876b618-684e-449b-a1cc-78103eb107b9,544983
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-61152b60-0b3d-44a6-b465-9d734b43c486,537695
org-21b9c258-ad27-4aab-8663-4d480c235950,loc-3967cbff-06ed-4dab-81c9-05125fe88c26,533982
org-fba0a395-8aee-478a-b62b-1738bcd93d19,loc-837a3106-de3a-4685-8479-0825f27cb229,533441
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-0da6d691-ba49-4ddd-8099-f2728ad66990,533187
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-2c42b655-4900-4e77-ac61-a2a06e3e2bb9,532422
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-3e72642e-93c8-47c2-9dfb-91f249426a34,523500
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-ee16912d-9d21-4822-8ec9-d1321567cd59,521180
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-2e838c6c-3455-4313-bd59-9f0a97700e38,517703
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-e509db67-dceb-4364-927c-bcae709f1ecd,508986
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-d098e4b4-a8c0-4bf1-a88c-d25c23138514,507059
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-29325571-18aa-49b6-a920-7efb823a94ff,498908
org-ccab0ac0-6515-439e-9adc-80ac4b40fed8,loc-03029693-f7f5-4c89-aa2c-b64234cc4b94,493437
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-5d3e798b-ae0e-4b1f-a40f-6456efcf6985,492938
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-e6eee7f7-d493-41f8-95c7-f7342476a284,492090
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-e1e4d253-3d61-4b1f-8240-5a404ee287e1,486972
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-e63ead6b-bcd5-447f-9b0f-c3efc0a57ed8,481411
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-461e561f-38ec-4672-8385-1b25ecaaf226,480129
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-cf857254-1c39-4e7e-8904-53fcb66b6248,479295
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-62bbde15-8b8a-4129-b14d-a466fc5beecf,475782
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-701932a3-cee6-49c9-9515-eb4dcb35b60c,470891
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-0ed5276c-c9bd-49ff-912b-c7af6cf1fdda,454136
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-14d142cd-81a9-4b9a-a568-ed62c9ac383f,451983
org-42a2fc0d-1696-4fd9-8c9e-dc5504f903c2,loc-2d672932-a1b7-4ff0-a848-d65c0c18c417,450318
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-f89e4c34-f8bb-4c55-88a5-e8a264251544,440918
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-3441eef3-eee3-4dc0-8846-4a996d75857d,439364
org-da401e9e-f16f-4b29-a3a3-98b7abdc8258,loc-77a015fe-e023-4066-be13-664e19db8268,434808
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-ed516b0c-a55a-4958-80fb-0b9431d1e18d,432443
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-9ce3e640-028a-4711-818d-b804f5f16f17,431272
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-fe81fb54-4da8-4943-ab9f-a4cfc1957c60,428005
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-899b280d-1a44-48e0-86ee-249fe52ea258,427259
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-49774d21-e98a-4e10-bcd5-5ed4c2883b9a,424491
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-d4503726-7ac0-4ffe-bccf-807408598357,421468
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-5899e290-d6bd-4348-9776-37f3350b8e3c,413543
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-b3e82cc5-5db3-4476-8281-9ce8d19915ec,412420
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-c4fd74d5-7ea1-413d-8b7c-660ac593fb31,411928
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-f27b5b7c-ece9-4e9d-bf9b-ac1e2a74eaea,407266
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-f697d511-33ee-4a03-a51b-8ab25d2d98b1,403089
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-5c317ea9-5212-4e72-80de-81898d160f0e,402693
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-32d16fca-766b-4d1c-82d6-248945ab14cd,394914
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-4e32f55b-d292-4812-a2a9-ebcf2a8c4239,394766
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-a0c1eadb-0948-4253-b02f-c5c4d74917a1,391449
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-4d0e5ec9-5008-4bdf-adba-b323b064364b,390841
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-353c730c-36ca-4575-95f8-38516cdc9de7,383875
org-aeb28116-ef76-488e-aa3a-07a1f5f6d730,loc-aac6bbd8-40da-43dd-a9db-4faf4a2e775e,382441
org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,379062
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-d15d72a6-1e82-4f9d-bcd5-6639630e7e57,376893
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-433970f2-657a-470c-8b1c-e44df2218a76,376126
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-b0807693-36d7-4aea-9b7e-aebb63581d5c,374674
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-7655d8fa-a84a-4a92-888d-2c03fb70f341,368988
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-628b5462-a708-45b9-a4b3-011c01aef0ee,361484
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-23d05a7a-d767-45be-88bf-636b281e5692,358527
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-066c9159-0ba5-450b-9bf2-f3ca269a6fbd,357816
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-6bf3b7e9-fcf1-4609-afbe-ac8b51ec0fa3,356169
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-e1cbf539-41ed-4dfa-aa0c-56a0368d6c55,355507
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-8c5f682f-c50c-4587-a6c9-eae3e30b6204,352486
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-40877ecc-4697-4232-b256-8596bebb849e,348859
org-ccab0ac0-6515-439e-9adc-80ac4b40fed8,loc-bc4a9873-fcca-471a-b40a-5fd70fd9ee8d,347877
org-bbd556dc-41be-4f09-9c5a-2024e9ad716b,loc-a9cb13d0-67e7-4a51-87e4-98bb34ea5e65,342983
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-40d95b42-2871-492a-ad9a-5d142a81fa63,342584
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-e390d35e-b9cd-48a7-8c98-574980e8fc0c,335323
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-f4ef6e00-3960-4e1a-ad94-ccc75c0fead1,331467
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-9da5a710-801c-42e6-92a0-4c61769dcf8a,328466
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-aaec9180-cd18-4f47-b70b-c5adaf9a4063,325619
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-088df87f-31d9-456c-8fcc-f985efdbc833,324750
org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-6039d18b-f09e-481e-a934-905ce13eec06,324265
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-a8185ea9-854f-478f-876c-4a881a2e09ed,321995
com-8umc347sbf,loc-4f5e19fe-b316-4b99-91cb-fae4d8e86941,319335
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-4bdb8e16-597d-4bc9-a935-00670af666f8,317788
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-e5e55d24-c341-41ee-b931-7ad4568c3882,303326
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-266cfe82-6356-444c-857a-b8c130e69722,299594
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-93747373-951d-430f-bd5d-b67961a0e770,296995
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-6383be76-2838-4b8a-be5e-8f4ebcb724d5,296667
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-806131be-ae51-49a8-b051-ea9d325a6717,294516
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-412da9ef-ff8f-4a5b-b912-b05cb4c4d366,293633
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-4356aea2-e002-4ecc-8794-dbaa859c3194,292698
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c05f3637-5ac4-4ebd-84ee-e25d31307f86,289935
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-b3fddbc2-3e9c-473f-807e-95341114fb17,281896
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-eebc0d7d-0ef7-489d-a2b8-d924dcfc6b27,278569
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-1af466a2-2e59-4941-8cb3-880f210250bc,277683
com-8umc347sbf,loc-d7145404-46ee-4f8a-846d-8bf472edfdd2,277584
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-3b89e8c0-f186-4f28-bf49-890bf8d4ec60,277573
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-6823efa4-c0cf-4d00-ae61-e1adcccf50a6,272856
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-dbc483d3-5c52-4dc5-95c5-dac1fd01e5ad,271721
org-c6638110-f166-45a3-ab92-a9d03ca1b645,loc-60244c1f-8e92-42a1-9491-2c3324aa737f,269359
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-7c3888c9-8f7a-4330-b643-7d17120079ad,267463
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c4b563fe-a508-4638-a4a6-178796888b36,264834
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-be3572e0-40c6-42a5-8784-6a132e8af3cb,264688
org-00523c63-32e3-4348-8d6f-09ed1fc2d631,loc-fb8f948a-e446-4762-a8d6-eb38c3b4daa3,263183
org-21b9c258-ad27-4aab-8663-4d480c235950,loc-3834e2ec-7284-4007-a44f-5155b8940fd5,262747
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-dad04cd8-64bf-411b-8a1f-9218d041de3b,255979
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-4a592933-5a26-4adb-80c4-3d4f68f5960f,254207
org-7bd17b79-edd7-48bf-b655-dd2fbb1650a7,loc-43bf64a7-6bc0-4a7a-ae4c-db21c12d4748,252009
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c23b1f84-d235-42c5-9aab-6aff630e2e0f,251813
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-bcac89b2-a938-4a8b-9fbb-c658890d8ce3,250109
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-35c26f32-823e-40b4-a2fb-e7eb50af0135,245135
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-4e2b6b96-eb98-4340-98f4-6295eb6921f9,244232
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-4d0416dd-1e8d-4c88-ae10-883df6979d69,242570
org-21b9c258-ad27-4aab-8663-4d480c235950,loc-dd2d558a-46e4-41f4-b47a-6c698ad82e82,242342
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-1971d050-cbc3-4556-b394-bc330ea3cef4,240359
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-f61b4486-4233-4d83-918b-b024bf3e6fd6,237872
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-103da4f9-252c-4048-91ef-c90cf579a349,237610
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-adca97a0-d10b-44c0-a1d5-0d167e9f5a2b,237083
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-7dfc3efa-208c-4afa-a15f-9677d2ea69ef,235392
org-21b9c258-ad27-4aab-8663-4d480c235950,loc-7ca1e5db-b1bd-4455-afd1-8dfa628dcfac,233603
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-491785c3-0a8a-4f8e-8d75-b0768db5caeb,233531
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-4daca22f-2e89-4d5a-9a22-9e88a06726a1,233151
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-c7ce66a2-3f71-4d3c-a017-608886b7536d,232541
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-9f896deb-8f7a-4168-aefb-82bfe2073c96,230901
org-14bb3e55-31ab-48f3-8a7f-b11e32c097c0,loc-2352da28-54a8-4412-80da-ce3e75cfa5ca,229518
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-51b26ccb-000a-4482-aca9-f6d1dd39d6ff,228448
org-c632bcdf-987f-42fd-87c3-effd3721e53e,loc-5555988e-459c-4cc2-94cf-28ab9d68260f,227604
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-2f696946-dd72-4e1d-9298-2aadf08f986c,227096
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-cf7a3269-897f-4067-93e7-1f7394733ab0,226132
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-38aaa37c-8bbf-4d6b-8eb0-e869b54d981c,226013
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-189882b8-5a32-40f0-9df1-690ac37daaf5,225458
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-87d82512-57d4-41f0-b941-a0ee14e65277,223454
org-21b9c258-ad27-4aab-8663-4d480c235950,loc-5283f641-ca5d-4ec7-8a59-0c578885d6c3,223172
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-aa61b61d-e0ab-45df-adbf-29b40e385743,221805
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-95225f53-746b-4ac5-823d-7fbd85e33f6c,220974
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-b409f4ec-219f-4527-a7b1-3f1a426defd1,219685
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-8f8b7895-6185-4936-8520-478a6bd02847,218683
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-148eeebd-15c0-4393-b159-5aa96044a6de,217784
org-00523c63-32e3-4348-8d6f-09ed1fc2d631,loc-b107e887-7848-4298-b709-e6d24a93ccf4,216856
org-ccab0ac0-6515-439e-9adc-80ac4b40fed8,loc-33c31a71-e343-4915-8c4d-8144a37fc72d,214819
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-b98bf2f9-c3b6-43e1-b824-1c609c016cea,213020
org-c632bcdf-987f-42fd-87c3-effd3721e53e,loc-76d81e89-d3f9-4b7f-b4cb-fd5be0a65c1b,208646
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-08757c68-a431-4c55-83ef-cb8d6d2aa050,206706
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-4efcc249-3010-49f2-9f27-d68a059711c8,205872
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-dd532a0b-077e-4ace-9959-8e1e35932385,204907
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-ac10512e-5287-4fe8-9313-1872cbc80ad6,203736
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-96b42d82-f90b-4d8c-8bc6-a145da52ae9a,203076
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-3da748d7-b6d7-419c-9e80-23a128f9fa75,202359
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-00e66d91-b241-4f86-bacb-ef72559d1b61,201797
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c7111b14-9ba4-4a5c-838c-06a46566b87e,198491
org-00523c63-32e3-4348-8d6f-09ed1fc2d631,loc-bc40a44e-7196-4268-8a5a-ef8c0da08547,194076
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-9603fc1b-52f6-4c8a-b379-5d01f10c97b3,193683
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-059b10f7-9ff0-4b92-954d-c12a45bf3c81,192092
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-0ce001c7-d23f-4a54-8099-098ab4c609bf,191498
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-844a1a67-6d47-413b-a157-0229a5860c5f,190489
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-8a80874c-0c3f-4152-8f8a-9764f31d3164,189315
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-63943e0c-f473-4578-a7c8-411e89925347,187978
org-00523c63-32e3-4348-8d6f-09ed1fc2d631,loc-3c295a31-868f-44bf-a616-1da394bd6a11,185898
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-7b03a357-b242-488f-a74f-89aab3b38bbd,182218
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c5153012-8991-41a8-9389-521ebbda6efb,181151
