organizationid,organizationname,locationid,locationname,catalogid,catalogname,menuitemid,menuitemname,item_class_type,modifiergroupid,modifiergroupname,modifierid,modifiername,modifier_class_type,is_modifier_default,min_quantity,max_quantity,allow_quantity_increment,increment_step,modifier_default_quantity,is_modifier_invisible,calories,price,is_modifier_active,is_modifier_deleted,modifier_created_on,modifier_modified_on,sysinserttime
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-32c220c5-fb9e-4ddd-a9dd-ccef8af65e93,Buffalo Sauce,0,False,0,99,True,NULL,NULL,False,,0.2500,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-354917e8-fd28-4b2e-88c3-80fec1029883,Mayo,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-41ea5876-f0fb-4962-aaf3-4e005da1aaad,Fish Sandwich,0,False,0,99,True,NULL,NULL,False,,6.3900,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-4808dcd6-ceae-4003-8625-44bb8b40d7bb,Ketchup,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-2ad9799e-2df3-4ebb-9563-8772f5638552,Rohan's Org,loc-9dd1eaea-e264-4d51-bffb-1abdc65e3fff,Upsell Testing,catlg-e77cf90f-2b34-4aa0-9eb6-642bef1ac285,Upsell Testing Catalog,itm-c4031adb-3c58-4024-8910-9cd2c6d46718,Large Sriracha Cheese Curds (Combo Upgrade Price),0,modgrp-794dfe86-a9b3-4024-a381-90c6b7601221,Chkn & Seafood Food Modifiers,modfr-48763d86-999f-42d2-b37e-cbcf38ac05e5,Malt Vinegar,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-10-23 16:17:40.406244,2025-10-23 16:17:40.406244,2026-06-21 12:59:53.214634
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-cb5581a2-b334-4496-b1a3-97e1cc2e7e12,Salad Dressing,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012653,2025-08-22 06:57:39.012653,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-d623fa49-7924-491d-b2b5-c28ee40c82b4,Swiss Cheese,0,False,0,99,True,NULL,NULL,False,,0.5000,True,False,2025-08-22 06:57:39.012654,2025-08-22 06:57:39.012654,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-d718469d-2b34-4725-8067-e43f02e2fdad,Bacon,0,False,0,99,True,NULL,NULL,False,,1.0000,True,False,2025-08-22 06:57:39.012649,2025-08-22 06:57:39.012649,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-d88041f9-10d3-4a55-a6dc-3adc14488946,American Chz,0,False,0,99,True,NULL,0,False,1 cal,0.5000,True,False,2025-08-22 06:57:39.012648,2025-08-22 06:57:39.012648,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-dd6d1f38-19d2-4155-8311-a94dcf8ee31e,Mustard,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012652,2025-08-22 06:57:39.012652,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-ddec8a33-674e-41fb-8a19-39d169a176fb,Buffalo Sauce,0,False,0,99,True,NULL,NULL,False,,0.2500,True,False,2025-08-22 06:57:39.012656,2025-08-22 06:57:39.012656,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e14b30a1-8ea8-4be3-aadc-405a05d8e1a7,Fish Sandwich,0,False,0,99,True,NULL,NULL,False,,5.9900,True,False,2025-08-22 06:57:39.012682,2025-08-22 06:57:39.012682,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e17f370c-e3d2-4932-988f-392c24871efd,Sweet & Sour,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012656,2025-08-22 06:57:39.012656,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e9f0ed73-caff-416c-b915-9524611da21b,Lite Italian,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012683,2025-08-22 06:57:39.012683,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-ef7dada3-85d5-4173-bc25-17d1956e0bd6,Cut,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012657,2025-08-22 06:57:39.012657,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-f4138fb9-f3f4-4a64-aa63-eb3ffbe5d360,Italian,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012682,2025-08-22 06:57:39.012682,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-f45843a2-62e3-401e-8dcb-8854b7b39b2d,Well Done,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.01266,2025-08-22 06:57:39.01266,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-f4e44609-ef74-49a2-a815-27940d966313,Relish,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012656,2025-08-22 06:57:39.012656,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-714a3554-6806-4a29-9e33-7ee10d1b2af6,Sauce,modfr-01116117-d2c5-4ee7-9713-392330d6350c,French,0,False,0,8,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012681,2025-08-22 06:57:39.012681,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-714a3554-6806-4a29-9e33-7ee10d1b2af6,Sauce,modfr-24ddc0bc-7bc7-4863-9c34-2397f0090b41,Sweet & Sour Sauce,0,False,0,8,True,NULL,NULL,False,,0.5000,True,False,2025-08-22 06:57:39.012659,2025-08-22 06:57:39.012659,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-714a3554-6806-4a29-9e33-7ee10d1b2af6,Sauce,modfr-26265f60-ae51-410d-aefe-1b0458f94fc9,Chz Sauce,0,False,0,8,True,NULL,NULL,False,,0.5000,True,False,2025-08-22 06:57:39.012651,2025-08-22 06:57:39.012651,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-714a3554-6806-4a29-9e33-7ee10d1b2af6,Sauce,modfr-275bcc70-d9a8-40c6-b40e-cefece6f1f99,Tartar,0,False,0,8,True,NULL,NULL,False,,0.2500,True,False,2025-08-22 06:57:39.012655,2025-08-22 06:57:39.012655,2026-06-21 13:00:49.312638
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-d718469d-2b34-4725-8067-e43f02e2fdad,Bacon,0,False,0,99,True,NULL,NULL,False,,1.0000,True,False,2025-08-22 06:57:39.012649,2025-08-22 06:57:39.012649,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-d88041f9-10d3-4a55-a6dc-3adc14488946,American Chz,0,False,0,99,True,NULL,0,False,1 cal,0.5000,True,False,2025-08-22 06:57:39.012648,2025-08-22 06:57:39.012648,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-dd6d1f38-19d2-4155-8311-a94dcf8ee31e,Mustard,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012652,2025-08-22 06:57:39.012652,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-ddec8a33-674e-41fb-8a19-39d169a176fb,Buffalo Sauce,0,False,0,99,True,NULL,NULL,False,,0.2500,True,False,2025-08-22 06:57:39.012656,2025-08-22 06:57:39.012656,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e14b30a1-8ea8-4be3-aadc-405a05d8e1a7,Fish Sandwich,0,False,0,99,True,NULL,NULL,False,,5.9900,True,False,2025-08-22 06:57:39.012682,2025-08-22 06:57:39.012682,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e17f370c-e3d2-4932-988f-392c24871efd,Sweet & Sour,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012656,2025-08-22 06:57:39.012656,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-e9f0ed73-caff-416c-b915-9524611da21b,Lite Italian,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012683,2025-08-22 06:57:39.012683,2026-06-21 13:00:44.345107
org-tf5i2lw1qz,Sakshi Demo,loc-f9507722-f4c3-45a1-a7a6-6358548bea05,A&w Lab new(Dont take order),catlg-5f49688b-1b0a-4963-9e20-90dba233b023,A&w Lab new(Dont take order) Catalog,itm-6111f62f-7b1f-4085-80f6-a04f71e65d45,Mini Meal - Bacon Single,0,modgrp-49f6b8c4-7d89-420c-9c0d-bacb0d0a372d,Chkn & Seafood Food Modifiers,modfr-ef7dada3-85d5-4173-bc25-17d1956e0bd6,Cut,0,False,0,99,True,NULL,NULL,False,,NULL,True,False,2025-08-22 06:57:39.012657,2025-08-22 06:57:39.012657,2026-06-21 13:00:44.345107
