organizationid,organizationname,locationid,locationname,categoryid,categoryname,menuitemid,menuitemname,catalogid,itemunitprice,price_changed_on,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,sysinserttime,average_rating,rating_count,norm_ts_name
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-b326ff64-7c17-4b92-8b2e-0532cf10c170,Extra Sauce,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403734,2026-05-12 14:35:54.174971,NULL,NULL,extra sauce
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-2306ebca-2ce9-46b6-bcc9-358711693abe,Pepperoni Lover's  Melt,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:25.398233,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403712,2026-05-12 14:35:54.174971,NULL,NULL,lover melt pepperoni s
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-54ff2a92-dbd8-4ca1-936c-f8148b7dd72f,Buffet,itm-0e699b28-285f-4de2-ace9-c2f38f30edf4,Buffet,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,buffet
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1aa62ced-f350-45ae-b929-92ea1432e130,Dessert,itm-48d348f8-3a8f-4338-a8fd-5252fae08318,Triple Chocolate Brownie Now,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403741,2026-05-12 14:35:54.174971,NULL,NULL,brownie chocolate now triple
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-0cd2c318-4b64-4a8c-87c5-4dd8283ef921,Veggie Lover's  Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.802541,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 20:40:41.581159,2026-05-12 14:35:54.174971,NULL,NULL,lover pizza s veggie
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-347eafd6-12d2-4222-af1a-54387ed89814,WingStreet,itm-1c273290-e80a-445e-aa6c-aadccdfdc256,Hawaiian Teriyaki,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,hawaiian teriyaki
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-8c0d002c-40a4-4cd6-bec4-f568c002742d,Premium B,itm-cd3254be-729a-41ce-b95f-8ad5e7fdcec3,Upgrade,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,upgrade
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-55a6f6e9-cfce-4f21-96ff-5f81cabb0eae,Pepperoni Duo Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.929915,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403716,2026-05-12 14:35:54.174971,NULL,NULL,duo pepperoni pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-248f6668-5b2f-4d1d-88d4-291504a00663,Tavern Style Recipes,itm-ba30bcce-2e14-4e73-951e-2504a2695614,Pesto Margherita Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.9900,2025-12-24 15:39:34.41339,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403717,2026-05-12 14:35:54.174971,NULL,NULL,margherita pesto pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-75024c9b-8ed2-4387-aec2-dbd7e7f1de73,Carryout Drinks,itm-db003a9c-10da-4486-8aa1-a856d08adbc2,Pepsi  Zero Sugar,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,pepsi sugar zero
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-d22bbb82-cb45-42b1-a57b-b9987e65b572,Raiders Poster,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,poster raiders
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-da04b090-3657-48df-be98-46b26c08a809,Sides,itm-0eeb353a-aec7-455e-a4d1-6f8f1b851279,Breadsticks,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,3.8000,2025-12-24 15:39:17.329704,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403734,2026-05-12 14:35:54.174971,NULL,NULL,breadsticks
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-93a760a7-1b0e-4d82-9094-5c04022bce42,Ultimate Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.9900,2025-12-24 15:39:34.377378,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403717,2026-05-12 14:35:54.174971,NULL,NULL,pizza ultimate
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-554cc099-4100-462c-b247-82d03d1243f7,Chipotle Ranch Dip Cup,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,chipotle cup dip ranch
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-347eafd6-12d2-4222-af1a-54387ed89814,WingStreet,itm-49c645b6-ff48-4645-820d-c317fb380445,Straight-Cut Fries,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,3.4100,2025-12-24 15:39:19.321488,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403722,2026-05-12 14:35:54.174971,NULL,NULL,cut fries straight
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-3bb07894-af28-4cd5-9ded-238ecd1ceb04,Supreme Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.690006,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 20:40:02.008643,2026-05-12 14:35:54.174971,NULL,NULL,pizza supreme
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-24c9f883-3411-475d-ba40-e25a68459114,Gluten Free Pepperoni,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,free gluten pepperoni
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-229dd5d3-1772-4b7e-97ea-83d2039793a8,Create Your Own,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,2.0000,2025-12-24 15:39:35.18279,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 20:38:27.189646,2026-05-12 14:35:54.174971,NULL,NULL,create own your
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-a2b9fba8-4c79-4a1c-a250-855ba9d31856,Cheese Sticks,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,6.3800,2025-12-24 15:39:19.817679,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-27 05:25:52.174188,2026-05-12 14:35:54.174971,NULL,NULL,cheese sticks
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-448c53fd-9ad3-4cf8-9208-2a62c43fc9e0,Pasta,itm-1dd4c9f9-98b8-4112-bce4-3ac72a6021b7,Oven-Baked Italian Meats Pasta,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,5.4400,2025-12-24 15:39:17.318274,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.40373,2026-05-12 14:35:54.174971,NULL,NULL,baked italian meats oven pasta
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-448c53fd-9ad3-4cf8-9208-2a62c43fc9e0,Pasta,itm-bfb98966-7450-437a-b2a1-c440b9bf90c3,Oven Baked Ckn Alfredo wSticks,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403731,2026-05-12 14:35:54.174971,NULL,NULL,alfredo baked ckn oven wsticks
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-b947873e-e4fa-4686-9e6d-f5663f429a1a,Soft Drinks,itm-bf9654a8-e4af-4672-a40a-1c4cbc761ba2,Raspberry Tea,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,False,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,raspberry tea
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-75024c9b-8ed2-4387-aec2-dbd7e7f1de73,Carryout Drinks,itm-f0fba77c-85e8-43ac-91ba-4ef69d7e3ad9,Pepsi,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.8700,2025-12-24 15:39:19.779627,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,2025-12-24 14:58:08.208856,2026-03-27 04:29:14.943233,2026-05-12 14:35:54.174971,NULL,NULL,pepsi
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-75024c9b-8ed2-4387-aec2-dbd7e7f1de73,Carryout Drinks,itm-fb6f0a97-470b-4dbd-8572-e9c314509f3f,4 Pack Starry,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403728,2026-05-12 14:35:54.174971,NULL,NULL,4 pack starry
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-c883566a-80c4-4811-8773-c6f6d467cf07,Nashville Hot Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,5.0000,2025-12-24 15:39:17.68437,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403714,2026-05-12 14:35:54.174971,NULL,NULL,hot nashville pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-75024c9b-8ed2-4387-aec2-dbd7e7f1de73,Carryout Drinks,itm-da0798a8-f739-4840-87a6-b77d4d4a9966,2 Mountain Dew and 2 Dr Pepper,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403728,2026-05-12 14:35:54.174971,NULL,NULL,2 2 and dew dr mountain pepper
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-88abc23e-c6b1-4d9e-9f1b-8509f8a18358,Garlic Dip Cup,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,0.4000,2025-12-24 15:39:19.445536,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403738,2026-05-12 14:35:54.174971,NULL,NULL,cup dip garlic
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-2e887189-c2f2-4f49-8ac5-382966661848,Red Pepper Shaker,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403735,2026-05-12 14:35:54.174971,NULL,NULL,pepper red shaker
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-74e0a618-c504-4b9e-ba10-22b169df6304,Premium A,itm-b123d24b-4c45-4f57-b97f-2599d4e451d2,Stars,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:38:50.055274,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403742,2026-05-12 14:35:54.174971,NULL,NULL,stars
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-19efd949-c0f9-411e-9d7b-57b88a7fbae7,School Lunch,itm-53aae47f-f9dc-41aa-8508-2fff8dc60cfc,Pepperoni Lite Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,lite pepperoni pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-74e0a618-c504-4b9e-ba10-22b169df6304,Premium A,itm-6f369650-9775-4a65-9dcc-02be835cb408,$3 Literacy Donation,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,True,2025-12-24 14:58:08.208856,2025-12-24 14:58:08.208856,2026-05-12 14:35:54.174971,NULL,NULL,3 donation literacy
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-d1a3b743-829c-43de-8ddf-78af1d46c4b5,Signature Recipes,itm-289a73bc-1e90-4630-af92-8946dc0144a6,BBQ Chicken Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.837212,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403713,2026-05-12 14:35:54.174971,NULL,NULL,bbq chicken pizza
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-1852958f-c5d8-4ff0-99c2-eede6e11765b,Appetizer,itm-9b08eafc-7e34-43de-aa53-9cae19ad2c3f,Pickle Ranch Dip Cup,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,NULL,NULL,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2025-12-24 15:38:21.403739,2026-05-12 14:35:54.174971,NULL,NULL,cup dip pickle ranch
org-d4efebe6-0ab3-4f44-a113-b9653a58c1d2,GRUBBRR Demos,loc-2bd29e8d-b962-472e-9e01-1ff06b6f9172,Fat Slice Demo,cat-0e2ed811-df7a-4eb4-b9b5-dcfcb1d25cea,Pizza,itm-d5c7f221-1e71-4cad-bbd2-26b7643aa258,Hawaiian Chicken Pizza,catlg-02cb3174-d197-4ae1-85da-53698e66d63b,1.0000,2025-12-24 15:39:34.894846,0,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2025-12-24 14:58:08.208856,2026-03-26 20:39:06.61418,2026-05-12 14:35:54.174971,NULL,NULL,chicken hawaiian pizza
