menuitemid,menuitemname,average_rating,rating_count,rating_stddev
itm-6177b22a-ba7b-4c14-9e63-346d825ae9f0,Tenders and Waffle,4.3,343,0.77
itm-8f8bfd1d-586a-4bf8-a28f-56e0669a8907,Milkshake Vanilla,4.33,370,0.74
itm-dd091cf4-727e-4da0-be99-d2b05ce4f35a,2 Tenders Meal,4.54,208,0.76
itm-c877863b-53bd-4b0b-8d56-4182b2c691c3,Ranch (2 oz),4.8,453,0.4
itm-bb004cf7-5638-458a-a025-4a6197a3fd20,Classic Sandwich Platter,4.45,443,0.62
itm-4c9dce68-c404-425c-845a-df20eeaa1063,Chicken Tortilla Soup,4.55,364,0.53
itm-780326ce-0976-48b5-8781-ef0bdc223a8e,15 pc Nuggets (a la carte),4.4,132,0.47
itm-fb075f97-95e4-473e-ac92-2c392bf49247,HWHAP 2 Tender Meal,4.67,217,0.59
itm-e191152a-dabc-4688-a4ba-8c1808a836b2,Sandwich & Tender,4.21,462,0.62
itm-8539559c-46fa-4f48-81a4-ca18aafb3c3b,Tender and Waffle Platter (20 tenders/10 waffles),4.38,116,0.73
itm-ca2933b7-1b0b-4cfe-a38f-739887d661d4,Shareable Mac & Cheese,4.26,221,0.44
itm-430eb791-0d73-4aad-82b3-1d621ec9f056,Fusion Fries,4.59,376,0.37
itm-0310236c-afd6-4920-9e5d-b28f6b139ca1,HWHAP SPICE CHALLENGE,4.95,392,0.59
itm-bb3fbcdb-d967-48cc-addf-5b1e7d293da5,Shareable Southwest Salad,4.39,342,0.7
itm-fdc7150c-5479-44fc-93e2-b18edf182944,Large Cheese Sauce (8oz),4.35,149,0.63
itm-4294b1d3-4059-410f-9e46-133cad5a706f,Breast (a la carte),4.48,310,0.53
itm-28057ab2-675c-466a-8d16-0a24d92a548f,Frozen Regular Lemonade,4.78,444,0.63
itm-1b44e9cc-c651-45e1-8b77-c0d97bda672b,Milkshake Chocolate,4.72,131,0.5
itm-68ddcb4b-0c27-4abc-8058-be8107c6f253,Small Fry Platter,4.47,155,0.42
itm-3ffc7a30-d1c8-4b6d-bf9d-26eeeed44439,10 pc Nugget Meal,4.35,329,0.37
itm-5f12f99b-b154-4288-953e-9085b5d59872,5 pc Nuggets (a la carte),4.35,336,0.42
itm-a9b337c1-d18a-45b8-9a86-11acd57259f1,Waffle Platter (10),4.94,326,0.7
itm-d99e0c53-7e9d-456c-acb2-c2a708aaa3e4,10 pc Nuggets (a la carte),4.88,150,0.33
itm-6ca4e77d-8490-4159-aaa4-6056e1ff480c,Cheesy Sandwich (a la carte),5,107,0.78
itm-17198964-f83f-4b9b-ae6a-8fe9eb4511ac,Buffalo Sauce (2oz),4.94,221,0.38
itm-259ba08c-51bc-4368-854c-61d5b2a7f6ae,HWHAP Tenders and Slaw,4.59,209,0.73
itm-185fd241-c459-43c5-abfb-2f754fd422b3,Coleslaw (side),4.92,184,0.49
itm-c7ee6356-20d3-4ceb-bfc3-3abb6fdcbe7b,Coleslaw Platter,4.99,235,0.76
itm-ee819886-8926-474d-9dde-e33a7b144628,Frozen Blueberry Lavender Lemonade,4.83,246,0.51
itm-b10fbc07-2b8a-4cba-a76d-b5399dddc708,Kids Honest Juice,4.97,384,0.63
itm-3453164a-06e9-491a-88b7-1090bfcb6e59,HWHAP Southwest Salad,4.59,197,0.45
itm-38aa2955-3881-44d7-8adf-358873aa3817,HWHAP 10 pc Nuggets (a la carte),4.97,396,0.67
itm-82d2e118-8c88-49a2-bdf2-2f4a4c7cffa2,Shake N' Waffle,4.25,260,0.33
itm-6036372c-c3fe-4ad3-a996-941f27ff45a4,Original Party Package,4.67,357,0.76
itm-b11b298a-6437-48eb-a622-0a7b649ba540,Aquafina,4.62,129,0.78
itm-a1914b79-d57b-45ea-b219-e4089c188687,Mac & Cheese,4.26,195,0.33
itm-a6c8aaed-3b1c-4a82-bfc6-95991e3ebc72,Milkshake Strawberry,4.25,220,0.5
itm-ab5cad46-9a31-4cf7-832c-237a23aac9d9,Red Bull,4.95,391,0.42
itm-66b5fdaf-22c5-4e78-9a8d-b8dd6b0e5cf3,Frozen Strawberry Hibiscus Lemonade,4.68,417,0.34
itm-734c27d2-ecd6-427b-b48d-68284ad5e5b0,Large House Sauce (8oz),4.73,389,0.56
itm-c3e07af1-a315-4198-8dbe-d7361f5d4d85,HWHAP Fusion Fries,4.95,204,0.63
itm-76e6276d-73b3-4b84-b1ef-009fb8701877,Tenders & Waffle,4.45,235,0.5
itm-042276fd-d984-4935-8bcb-04031d53f9d0,Loaded Fries,4.74,253,0.53
itm-ef659dad-beda-461b-be83-feed9956fa91,Lemonade Refill,4.94,137,0.3
itm-aa60c30f-a262-44b0-9a6a-60e914a6b2ee,Waffle (a la carte),4.7,388,0.8
itm-4b258204-a50f-4613-913d-4d5fe4d3ea78,HWHAP 15 pc Nugget Meal,4.26,209,0.55
itm-a03ed59a-535f-4322-babe-094d9fc3feeb,Chilled Blueberry Lavender Lemonade,4.31,278,0.74
itm-62f923c1-04fa-4960-bffd-b650b27c8f96,Buns (a la carte),4.9,289,0.44
itm-780b3717-09eb-4c36-9439-38eadfbcc1e6,Tenders and Slaw,4.55,378,0.65
itm-2832f5ca-87e9-4b9a-aeae-e0e9f637eb5a,Large Ranch (8oz),4.69,434,0.56
itm-3e581958-f1bc-4c6d-8078-f2f70cd44ceb,HWHAP Sandwich & Tender Meal,4.73,383,0.45
itm-ee1a437b-3b30-4455-813d-319382b31ca9,HWHAP Cheesy Sandwich (a la carte),4.73,168,0.43
itm-bfd46d5a-e398-4286-9793-578952d09655,HWHAP 5 pc Nuggets (a la carte),4.91,480,0.58
itm-f3464a78-fee8-4160-b8cc-832434d81bf9,HWHAP Tender (a la carte),4.42,409,0.41
itm-b6cd3ea9-de8b-4dd5-a1bc-a755a36a93f1,Large Fry Platter,4.47,451,0.62
itm-91a5af40-5e61-404e-80a1-b5da58fe5641,HWHAP 2 Tender Meal,4.41,350,0.43
itm-96171525-03a4-46a9-a07f-ac7176af5b33,10 Tender Tray,4.93,126,0.35
itm-f946ca97-8b69-4a22-8c29-c60f83b6bc5f,Tender and Waffle Platter (20 tenders/10 waffles),4.54,241,0.32
itm-894c4092-308d-4f02-93b7-377d876c1aba,HWHAP 3 Tenders and Fries Meal,4.47,166,0.62
itm-fc63368b-035f-4520-b8a3-256f821e5bdf,Classic Sandwich Platter,4.41,479,0.52
itm-8d368f8c-f228-4ded-b1ba-f41e74209484,50 Nugget Platter,4.76,387,0.3
itm-bfe38618-84a7-4b14-92cd-46ba588472fd,Tenders & Waffle,4.26,453,0.75
itm-7edf7518-30e5-4988-850b-be6241d37cda,HWHAP Texas Caesar Salad,4.64,289,0.59
itm-a963f27c-8361-4820-854f-598beb1b6deb,Chilled Strawberry Hibiscus Lemonade,4.32,165,0.32
itm-005119c8-e67f-40d2-bc43-738c93baa117,Waffle Platter (10),4.49,120,0.75
itm-ca184d07-d85e-4ed9-b7a5-9760d864e3af,Original Party Package,4.37,227,0.63
itm-fba6c620-c81b-4e84-af59-2dd6753a5eb8,Breast (a la carte),4.48,386,0.74
itm-8a8cfa5c-a9ad-45ca-b3d0-37749a923d83,2 Tenders Meal,4.53,417,0.67
itm-3c272c64-a8ad-44e8-8786-1acf1a40d936,Shareable Mac & Cheese,4.94,221,0.73
itm-77edfae0-aceb-4dca-b167-afcc6e3384f1,Chilled Blueberry Lavender Lemonade,4.98,190,0.74
itm-0dfb04e7-fc77-46aa-be83-30e688c72331,Classic Chicken Sandwich,4.22,477,0.76
itm-2859065f-37a2-4706-af33-d0918d414076,Tenders and Waffle,4.83,310,0.7
itm-626b8d12-3999-404a-929a-76bae8159eba,Large Ranch (8oz),4.89,227,0.43
itm-316cf927-23dd-4956-97a4-4642c181da9a,5 pc Nuggets (a la carte),4.83,155,0.49
itm-3a50c837-9358-4008-ab97-e929fb4b13f2,Original Sandwich (a la carte),4.23,340,0.41
itm-3b4150fd-6f35-441b-bec9-90f8964f25bf,Pickles (side),4.85,335,0.47
itm-29b7c9ce-d829-494e-b072-7c31ad91ea61,15 pc Nugget Meal,4.86,216,0.41
itm-158abe5e-4d8c-449c-aa96-ff916eb2948b,Red Bull,4.73,304,0.46
itm-d74731aa-1219-4145-8a13-e142cfeb8ed3,Large Chips Platter,4.89,495,0.44
itm-500c2899-2c68-4cc4-aba5-04af2ca99577,Regular Fountain Drink,4.71,304,0.64
itm-58d97323-4a1c-4341-b921-a52704b9ca04,Small Fountain Drink,4.87,269,0.77
itm-288dfb17-1b6a-40e9-a705-cc25a022fe40,HWHAP Classic Sandwich (a la carte),4.29,233,0.39
itm-9ef7c2a8-09f5-40ff-b15a-4556cc743966,Pellegrino Sparkling,4.97,235,0.32
itm-ba6bb79a-c1c2-421a-b4ae-ecd3a57b23e5,Milkshake Chocolate,4.68,276,0.66
itm-9540d264-6efb-453d-9d37-902c33c98926,Cheesy Hot Chicken Sandwich,4.45,410,0.79
itm-dd38f049-b7ce-40f4-bad4-23203b4a6ed9,Sandwich & Tender,4.29,395,0.4
itm-8ecc0795-320d-4807-8beb-3a5dadcd111b,HWHAP 10 pc Nugget Meal,4.24,323,0.3
itm-d533f7db-9e99-4e0c-984f-eafe332a9c66,Red Velvet Wheely,4.94,375,0.64
itm-515a5b2d-abd8-4458-97ba-865173382239,The Mondi,4.95,477,0.64
itm-ea8146f9-5417-49be-a882-641dce220867,Shake N' Fries,4.49,135,0.77
itm-3bfe8c04-1596-4dac-a359-c9cafdc4e5b6,Small Fry Platter,4.94,419,0.46
itm-9d1d46b2-e6d0-4f36-81b4-f56a3e119d22,Large House Sauce (8oz),4.88,468,0.75
itm-a6a7e58f-5edf-4c25-901c-a64d72a430ce,Waffle (a la carte),4.61,441,0.5
itm-6489fc51-2ee8-4132-9a9e-4fdd026713e3,Original Hot Chicken Sandwich,4.52,251,0.58
itm-d75d067f-32f2-46b9-b55c-97471555a60a,Coleslaw (side),4.35,440,0.77
itm-1a08838c-d77f-4980-bbb9-9864027179d8,HWHAP Original Hot Chicken Sandwich Meal,4.74,189,0.61
itm-20af79d8-a24b-4403-981f-9a8ea9aaa92d,HWHAP 5 pc Nuggets (a la carte),4.44,380,0.72
itm-362c2097-bbd5-472c-b5c7-87f603317f45,HWHAP Loaded Fries,4.44,207,0.51
itm-2a2105a3-89fe-4a66-b9bc-b36dbe09a1ef,BBQ Sauce (2 oz),4.66,435,0.46
itm-337e3afc-97d8-4db2-aa74-6d73335c10aa,Cookie Monster Wheely,4.55,445,0.41
itm-33bc5c87-7d37-41b5-99e8-051f70a85946,15 pc Nuggets (a la carte),4.58,476,0.38
itm-9c817739-7e35-4916-943f-dae548c2bebd,HWHAP Southwest Salad,4.27,363,0.63
itm-3fb6d4d4-e101-4cf0-a0f1-49bbdf03f7c0,House Sauce (2 oz),4.7,147,0.71
itm-166fac39-e862-4166-83c1-0cedc6f3d670,Southwest Salad,4.8,444,0.46
itm-92ce0ee4-dde2-41c7-9741-e7dd4823cfd7,Kids Honest Juice,4.85,175,0.31
itm-faa3ebe8-4dd7-4407-82f2-dc165fff2ed5,Shareable Southwest Salad,4.4,343,0.61
itm-b6fb5398-67af-4867-9bb5-98280684ee02,Honey (1 oz),4.81,333,0.51
itm-1104baad-ec80-4928-9169-0ef49a517b16,Chips Platter,4.7,199,0.66
itm-cc062fb9-b7dd-449e-9e24-a472e1c226f7,Chocolate Chip Wheely,4.51,304,0.42
itm-8afdb0c0-9d02-4c11-bbaf-9b30770204f1,20 Tender Platter,4.72,102,0.75
itm-59e8cc93-77e7-4d0e-9f52-8f7ba072f7ae,HWHAP 15 pc Nuggets (a la carte),4.89,154,0.69
itm-233b7d8e-1f08-4fa8-be26-a954ba1656a4,Loaded Fries,4.38,456,0.56
itm-f5a00325-ac1d-4a5d-ae77-a4de23699da1,Milkshake Strawberry,4.24,227,0.76
itm-f753061b-ff5b-481e-ab42-77b345245d1b,Fusion Fries,4.3,168,0.7
itm-abb0bfb9-9bbf-491b-8ed5-ecb38fa2c81f,HWHAP Classic Chicken Sandwich Meal,4.73,386,0.6
itm-d32a8b98-87cc-4481-911f-9def6c303dd1,HWHAP Cheesy Hot Chicken Sandwich Meal,4.96,326,0.61
itm-75e23ef2-7c94-4e6f-88d9-3f79e0c3229c,Large Cheese Sauce (8oz),4.78,358,0.51
itm-07be381d-957f-4fcc-a17b-b4a0d8d7c1be,Cheesy Sandwich (a la carte),4.93,328,0.75
itm-9d7f0a49-0337-4f17-9d4a-d01b29b813e1,Texas Caesar Salad,4.79,343,0.53
itm-2773cff5-4554-4abe-bfe1-54e853a0bc5f,Frozen Blueberry Lavender Lemonade,4.8,426,0.44
itm-dc53ebf7-f1e8-4f70-9e92-7783f64b464b,Shareable Caesar Salad,4.82,348,0.61
itm-88d3186f-b0e1-4667-a7ff-ad61be68017b,Frozen Regular Lemonade,4.42,139,0.66
itm-02fa5e43-2848-4268-bc69-cd8436f88cc8,Cookie Crumble,4.39,271,0.46
itm-e705cbf8-15f9-45f3-b57c-ac3c46a49733,HWHAP Tender (a la carte),4.63,170,0.38
itm-1ff96907-cfa8-468c-ad9d-31800f610e0f,3 Tenders & Fries,4.51,178,0.65
itm-6eeebf0f-ce6a-4b66-a05b-862d4a19cefb,Chilled Cucumber Watermelon Lemonade,4.25,308,0.47
itm-90d9843b-b3db-4dfc-b9ae-e1dea2ece348,Waffle Sandwich,4.57,131,0.4
itm-5e2eaa45-dc67-4a93-9488-7c561ccb3458,10 pc Nuggets (a la carte),4.54,494,0.59
itm-c2104a41-3d6e-44be-9a63-55d04dd9559e,Frozen Cucumber Watermelon Lemonade,4.76,491,0.59
itm-ac4fcfbf-692f-4738-b5f7-eec1bc34e685,Classic Sandwich (a la carte),4.58,280,0.45
itm-1e4b7417-c1e0-48bb-83da-b44eb236a2fc,Buns (a la carte),4.51,314,0.57
itm-7a2c3f49-2023-4b6b-8348-6427f46cf603,Shake N' Waffle,4.79,408,0.75
itm-04c7e5a4-a704-4a81-b9d0-6cc412b3153e,Fries (side),4.59,239,0.52
itm-0136ab93-ffb5-4c35-84d5-9a4fe47b7125,Frozen Strawberry Hibiscus Lemonade,4.22,272,0.63
itm-3608e05b-6226-4f42-901b-91b76dac9712,Lemonade Refill,4.84,470,0.38
itm-6da9f0d6-a31a-4cc9-9e99-0651c73df656,Large Fry Platter,4.57,165,0.79
itm-36810fb9-f0bb-461d-b448-7ceab370874d,HWHAP Chicken Tortilla Soup,4.63,301,0.6
itm-5d81a5db-94f5-441c-8dbe-84657ccf8126,HWHAP Cheesy Sandwich (a la carte),4.73,142,0.62
itm-39c0aa36-44b2-4205-90a9-fb7b14399ec7,Buffalo Sauce (2oz),4.31,336,0.39
itm-8de5d275-6b3d-4f69-bf70-fafb8f903c47,Cheese Fries,4.41,267,0.41
itm-dc46bbea-5acc-4ee2-80b7-cd181254a143,HWHAP Tenders and Slaw,4.46,489,0.74
itm-b153146b-21ff-41fa-8f40-754d05d910c3,Cilantro Ranch (2 oz),4.42,315,0.43
itm-55593958-f2ef-4008-b6cd-db2da1619683,HWHAP Sandwich & Tender Meal,4.27,109,0.67
itm-05c5b8c6-1c0f-4068-97b0-84e45f1fd208,HWHAP Original Sandwich (a la carte),4.24,279,0.41
itm-b1d5ce8b-b0d6-4853-b9f1-33dce4ce9b54,10 pc Nugget Meal,4.25,433,0.32
itm-ba76c3d1-9239-44a5-a532-bb27a8562b4e,Kids Meal,4.22,226,0.4
itm-48646f87-4bae-4972-9932-a53ba715331e,Cheese Sauce (2 oz),4.22,178,0.42
itm-7d76597e-9a29-446c-803d-138f5b44b7b8,Milkshake Vanilla,4.58,158,0.58
itm-665d8793-6532-412e-a05d-54d1e6df0134,Tender (a la carte),4.37,458,0.43
itm-31208176-c83d-4cac-b7b7-2128d16ec37d,Original Sandwich Platter (10),4.5,410,0.6
itm-d26dfa3e-2cf4-46f3-be61-7e84d082814c,Double Double,4.8,158,0.69
itm-6aee0a12-1f7b-4fa1-9c7c-65230bad5cfc,HWHAP Fusion Fries,4.33,259,0.35
itm-9efb6631-5af0-44a8-ab01-47b722132e7a,HWHAP 10 pc Nuggets (a la carte),4.22,259,0.59
itm-712c745a-d404-4b53-b40a-f7d93667b2e8,HWHAP 15 pc Nugget Meal,4.93,292,0.5
itm-1c3570ca-d6b1-4fa7-9f8f-e85546e5e5f5,Caesar Dressing (2 oz),4.77,138,0.6
itm-1134431f-37ad-4b1f-ba93-14f70c4ef052,Ranch (2 oz),4.86,224,0.35
itm-28ecc119-9799-4d19-9818-5fa4f0a5fa4f,Maple Syrup (2 oz),4.82,450,0.6
itm-3ac8c5a4-06c3-4db4-8a74-8ae388049ccd,Coleslaw Platter,4.3,389,0.69
itm-d48941d7-bafb-447b-af29-417bc4973f1f,Mac & Cheese,4.48,319,0.63
itm-e4746fb2-a6e3-4b16-a56d-846d5b14063a,Chicken Tortilla Soup,4.26,431,0.47
itm-d265902a-b1df-4ef9-be71-40fcd1e7970c,HWHAP SPICE CHALLENGE,4.88,350,0.35
itm-a7613d32-3add-4d9e-8e12-b3d7c4b9bcdc,Aquafina,4.97,425,0.75
itm-336db1fb-212e-4316-9494-7872d5c8686e,10 Tender Tray,4.57,178,0.52
itm-5b631654-f619-413f-a0ca-1b03eae53e27,15 pc Nugget Meal,4.79,433,0.44
itm-3fe24a44-7a33-4420-ab46-23e3baa75b9e,HWHAP Classic Chicken Sandwich Meal,4.85,375,0.69
itm-bb04f7ae-282d-43eb-b1f4-a99dba30d99b,Milkshake Strawberry,4.57,474,0.6
itm-36410551-f407-403e-9a41-75a066220a87,Tenders and Waffle,4.46,225,0.72
itm-9db38747-525f-4685-9535-6d4a30d936e4,HWHAP Cheesy Sandwich (a la carte),4.27,330,0.42
itm-8732f8a1-4a0c-403f-b378-2040b24a0fc2,Original Party Package,4.57,412,0.63
itm-63277996-2f57-4f99-8b1e-b4ff15d52f19,Fusion Fries,4.47,353,0.73
itm-b8ad7675-ac72-4df3-8b34-015b1283a1cf,Lemonade Refill,4.35,208,0.48
itm-ed4e4954-5059-4fee-9f24-6e06027d21c2,Waffle Sandwich,4.41,243,0.74
itm-a7f500fa-f2e2-41e4-8578-e811d54d925f,HWHAP 15 pc Nuggets (a la carte),4.76,241,0.58
itm-57287286-adcc-4e8c-b1d1-9e709afd6927,Cookie Monster Wheely,4.61,197,0.34
itm-fde58ad7-7589-45e2-b89a-ecde0d38ccc7,Large Fry Platter,4.78,350,0.58
itm-8103ce7f-61ec-4cdc-9be0-827cad07a00a,Large Chips Platter,4.39,343,0.62
itm-eff102e0-50b5-4357-a07a-37012d477bbe,Large House Sauce (8oz),4.59,108,0.35
itm-aeef731b-ae33-48d9-bbc4-b2f26fad4586,Original Sandwich (a la carte),4.38,454,0.42
itm-c80d6a90-ed1c-4278-b33e-120b2d5b6af8,HWHAP Chicken Tortilla Soup,4.73,288,0.54
itm-a37e16f5-26e7-4241-9c53-3c5c6370e31c,Milkshake Vanilla,4.62,317,0.8
itm-c7facfe8-b167-4589-a744-b79cb20e8271,House Sauce (2 oz),4.64,280,0.65
itm-820a1f62-dabd-46d9-9b38-fb2b42184595,Shareable Caesar Salad,4.42,228,0.42
itm-913d9339-bd65-42f8-94e1-c7604bb2f89c,10 pc Nugget Meal,4.78,261,0.36
itm-37120955-a2d3-462c-bfd2-1ef4ffca62f3,Double Double,4.63,490,0.65
itm-dfc2ecfe-1eb2-40c6-8494-93726e5fa52d,HWHAP SPICE CHALLENGE,4.35,478,0.54
itm-91fa1390-261f-45a9-8f7a-7e482f0a11ec,Large Ranch (8oz),4.78,489,0.56
itm-45dd8eb8-0903-40ab-8abd-a140eb20ee10,Tender and Waffle Platter (20 tenders/10 waffles),4.43,151,0.72
itm-86eae1f5-8e83-4cda-ac07-fc2e2deac3e8,Fries (side),4.44,284,0.39
itm-70fea55f-3bb3-4700-aa31-39b2dce20c47,HWHAP 15 pc Nugget Meal,4.21,373,0.36
itm-a0029782-9c4a-4a61-828f-45dc4e5d9b10,Classic Sandwich (a la carte),4.24,127,0.58
itm-8d1767e9-1438-4a24-8964-f10ca32d8ccb,Tenders & Waffle,4.76,164,0.62
itm-5ee64b75-f9ba-4c4d-869d-87a022ac7fbc,Waffle (a la carte),4.8,152,0.74
itm-62d257b4-6a16-48d6-836a-2e5446a15f19,Frozen Blueberry Lavender Lemonade,4.66,340,0.54
itm-c49d3e77-4deb-41d7-a36d-8079500e121a,HWHAP Original Sandwich (a la carte),4.47,126,0.43
itm-bf13053b-ac05-49e1-87ba-a2dafb81267e,HWHAP Texas Caesar Salad,4.89,158,0.71
itm-605cbb69-6ac9-4a50-8e01-db07b67566e2,Kids Meal,4.52,137,0.59
itm-31ce9add-3a8b-4e64-bd1f-b1264eac8446,Ranch (2 oz),4.75,177,0.37
itm-9d454893-aee1-4c49-972c-e38bc2a4297f,Original Hot Chicken Sandwich,4.65,255,0.34
itm-b07c4c79-1ac0-4034-8eaf-61e22525bd11,Texas Caesar Salad,4.4,385,0.68
itm-e054222d-6a7e-4f10-bf37-1fef8a9da9a1,Aquafina,4.69,416,0.41
itm-fc25f210-0cb8-4d63-93cf-ca244f7863cf,Southwest Salad,4.62,330,0.75
itm-db5cf85f-c091-4cb5-9c28-94ced330aa97,Chocolate Chip Wheely,4.44,401,0.8
itm-4f403175-8b76-4c62-b468-d3540acb758d,HWHAP Original Hot Chicken Sandwich Meal,4.44,417,0.33
itm-95c4a459-2844-4ae4-bf3d-9847b1ae6d35,Frozen Cucumber Watermelon Lemonade,4.97,150,0.77
itm-beddb250-2ca2-4db3-a0b3-879dcdcf07f9,Chilled Cucumber Watermelon Lemonade,4.37,208,0.43
itm-c9899cf0-95f5-4817-baa1-88b5747571fe,Cheesy Hot Chicken Sandwich,4.26,222,0.39
itm-7995a88d-b667-45a8-aea1-9683589dce9d,Cilantro Ranch (2 oz),4.26,101,0.5
itm-18defe22-13c9-4851-b253-4d8587993244,Breast (a la carte),4.75,340,0.45
itm-c51f3747-5306-46f8-8d39-b14fc4532476,Maple Syrup (2 oz),4.39,461,0.44
itm-8a5f3a3e-7198-4822-953b-90dc799f9230,Classic Sandwich Platter,4.89,136,0.64
