organizationid,organizationname,locationid,locationname,catalogid,catalogname,modifiergroupid,modifierid,modifiername,modifier_class_type,min_quantity,max_quantity,allow_quantity_increment,calories_text,is_modifier_default,modifier_default_quantity,is_invisible,modifierprice,loc_modifier_popularity,org_modifier_popularity
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6495b933-09e1-4f51-bb5a-8a5af15aceed,modfr-3c5037b6-6863-4206-91f6-09a7a990bf5a,Paneer,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6495b933-09e1-4f51-bb5a-8a5af15aceed,modfr-4f4f6ee4-d98c-4f82-a411-081b962bfadd,Lemon,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-0cca9439-71e3-4856-85fe-ceda5f4ed910"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-0cca9439-71e3-4856-85fe-ceda5f4ed910"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-6495b933-09e1-4f51-bb5a-8a5af15aceed,modfr-78687012-0406-4e0a-ab5c-54fd190001ef,Black Olives,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 50}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 50}]","[{""menuitemid"": ""itm-ca0a37d4-5924-43f9-a765-07b08be90fbb"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 50}, {""menuitemid"": ""itm-a56083e1-6fed-4b30-a309-43ead87b68b8"", ""item_class_type"": 4, ""modifier_selection_ranking"": 2, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 50}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-75992d6f-7325-4e74-933d-70f75215ff47,modfr-87dba734-daf2-4f5c-82de-db3e84d824bf,Testing Cheddar Cheese,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-a9cdad9c-164f-40d8-bf42-ad792bec8eba,modfr-69aa37af-c84c-45c9-a273-58f1b27d5ffc,Provolone,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-f91c2153-3beb-47c0-b9c2-ec1611331e80"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 3, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-f91c2153-3beb-47c0-b9c2-ec1611331e80"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 3, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-a9cdad9c-164f-40d8-bf42-ad792bec8eba,modfr-b1a8a31b-b18a-4315-81e5-f7efce81c474,Cheddar,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-f91c2153-3beb-47c0-b9c2-ec1611331e80"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-f91c2153-3beb-47c0-b9c2-ec1611331e80"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-b15a07f6-a172-4fca-9dbc-3393d8c9ae93,modfr-a6d1a3cb-d83f-4c8e-9fd6-afde7e15f114,Natural N,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-90d009ae-5bc1-441e-90a8-a3ef017eac14"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-90d009ae-5bc1-441e-90a8-a3ef017eac14"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 2, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-b15a07f6-a172-4fca-9dbc-3393d8c9ae93,modfr-dc613b78-499b-4f50-bd08-15f5de350fa1,Roasted N,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-767e82ef-2827-4378-8699-9f3cbced4ec9"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 7, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-767e82ef-2827-4378-8699-9f3cbced4ec9"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 7, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-e26327c9-8033-4604-80f1-470054a160a6,modfr-1c9a4cef-f9fd-4424-b11b-218d965c7d64,Steak And Cheese,0,0,1,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-fe0cd106-f41e-4d66-bd73-e508d1a4318f"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 6, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-fe0cd106-f41e-4d66-bd73-e508d1a4318f"", ""item_class_type"": 3, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 6, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-e777b798-9ff9-480d-917e-dbb517ae5eee,modfr-71a19973-ce5b-436b-9a64-053d860cf403,Kebab Masala,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
org-d54ec735-238b-454f-ba73-6ec9d3a7a955,Jiten Company,loc-9dbd4815-f50a-4e4f-ac1d-5fd6d9ec728e,Test Toast,catlg-c7303b31-d0b9-4a5f-977e-c5ea116ab12e,Test Toast Catalog,modgrp-e777b798-9ff9-480d-917e-dbb517ae5eee,modfr-d9b712bd-b12b-4b1b-904d-c950498a3646,Cheese,0,0,0,True,NULL,False,NULL,False,0.000,"[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]","[{""menuitemid"": ""itm-2956bda4-1e01-471b-b8c9-7e7da9dad347"", ""item_class_type"": 1, ""modifier_selection_ranking"": 1, ""x_times_added_on_to_the_item"": 1, ""pct_relative_selection_frequency"": 100}]"
